"","Overall"
"X",0.14974849231622
"X.1",0.121548807087981
"X.2",0.0877729602018964
"X.3",0.0932586835395618
"X.4",0.0878606330425481
"X.5",0.0879439765627427
"X.6",0.0896384345322819
"X.7",0.0860017120649794
"X.8",0.0796210298880304
"X.9",0.0959116675197766
"X.10",0.142689939967351
"X.11",0.0931678440869606
"X.12",0.104846820319349
"X.13",0.0854218028627142
"X.14",0.100376178694624
"X.15",0.096155682324713
"X.16",0.121543641857047
"X.17",0.0913647851028384
"X.18",0.112297892545789
"X.19",0.0915497134059091
"X.20",0.254727347944409
"X.21",0.126046800084049
"X.22",0.104021616159144
"X.23",0.107407978423695
"X.24",0.0991889485899685
"X.25",0.100200596535022
"X.26",0.0995448450348471
"X.27",0.104963878576568
"X.28",0.0847945285142475
"X.29",0.0795306491264649
"X.30",0.12679380286789
"X.31",0.0961250434297792
"X.32",0.129106180880921
"X.33",0.110822760519131
"X.34",0.135015414132278
"X.35",0.102966747435848
"X.36",0.170625213403117
"X.37",0.0878897687709456
"X.38",0.103587437541441
"X.39",0.0891910845757913
"X.40",0.136156605136231
"X.41",0.10954890691046
"X.42",0.0894771323484952
"X.43",0.0792088699202094
"X.44",0.151993537959323
"X.45",0.0889166841823021
"X.46",0.120296856798984
"X.47",0.0828767758049656
"X.48",0.0794952182488839
"X.49",0.0829538591379037
"X.50",0.137126633744483
"X.51",0.110839838514525
"X.52",0.113868260491674
"X.53",0.0970279886272309
"X.54",0.103969699858684
"X.55",0.085798672335105
"X.56",0.0814892439149438
"X.57",0.133566049963296
"X.58",0.122263959869858
"X.59",0.0975763524358523
"X.60",0.176343527077212
"X.61",0.0888663869086864
"X.62",0.109539474578714
"X.63",0.0963976233027457
"X.64",0.107503535993386
"X.65",0.12032083338508
"X.66",0.0872833898616117
"X.67",0.0967357682571863
"X.68",0.0860882844698255
"X.69",0.0949772866954689
"X.70",0.210587005140077
"X.71",0.0929384625194381
"X.72",0.0979283698248661
"X.73",0.0935010039581697
"X.74",0.176649005006228
"X.75",0.103041776238761
"X.76",0.0963910547994613
"X.77",0.110255528494635
"X.78",0.129886164427051
"X.79",0.0854586748959548
"X.80",0.182854042116485
"X.81",0.0888771445530691
"X.82",0.132036397021453
"X.83",0.107027371478739
"X.84",0.0743243328659308
"X.85",0.121645411562559
"X.86",0.0874620686312038
"X.87",0.107351893260037
"X.88",0.0977765765349788
"X.89",0.11684202269023
"X.90",0.145056813620917
"X.91",0.0758407624396132
"X.92",0.100095273781043
"X.93",0.0811050679436179
"X.94",0.0954786706568147
"X.95",0.10965895619377
"X.96",0.0939354043062772
"X.97",0.101803760759521
"X.98",0.0848509699859021
"X.99",0.0790912810031608
"X.100",0.0813695034281381
"X.101",0.089690063990089
"X.102",0.0932301701948764
"X.103",0.0995327872506557
"X.104",0.0882352572056604
"X.105",0.0909871105138569
"X.106",0.0875020113430158
"X.107",0.230439603702984
"X.108",0.104553421079355
"X.109",0.0940914823891789
"X.110",0.100173646001958
"X.111",0.0836467641221007
"X.112",0.092274505113563
"X.113",0.113176520986511
"X.114",0.0970298917787579
"X.115",0.134998608046142
"X.116",0.0974341831637411
"X.117",0.089446715129539
"X.118",0.089273159582469
"X.119",0.0888823089010763
"X.120",0.0975105206653687
"X.121",0.0929393016154349
"X.122",0.101385311465862
"X.123",0.0951518031151914
"X.124",0.0870965430894994
"X.125",0.0949238823226274
"X.126",0.0919885314928755
"X.127",0.114389915795511
"X.128",0.108838761621991
"X.129",0.0985204900711127
"X.130",0.110842240382764
"X.131",0.0849422935147258
"X.132",0.0920458684456634
"X.133",0.136040391248019
"X.134",0.112552441487646
"X.135",0.0906484977775079
"X.136",0.113076051576949
"X.137",0.0899367395919698
"X.138",0.0922658127681746
"X.139",0.098500481532184
"X.140",0.0979774613224302
"X.141",0.077061097296261
"X.142",0.0890560090208801
"X.143",0.0960516911482739
"X.144",0.0988248922805485
"X.145",0.130208314778472
"X.146",0.0963306642217549
"X.147",0.125664620054151
"X.148",0.13455477776018
"X.149",0.0804236888289447
"X.150",0.0887274265872899
"X.151",0.0896722049925399
"X.152",0.0938155092493035
"X.153",0.133204865005658
"X.154",0.0965197558011044
"X.155",0.0889026208972883
"X.156",0.0933841628009609
"X.157",0.0682652369199933
"X.158",0.0909132951432906
"X.159",0.103440207818552
"X.160",0.103946878909687
"X.161",0.077438782062658
"X.162",0.0895749538587249
"X.163",0.0954475429659226
"X.164",0.073386135397345
"X.165",0.0914770193345698
"X.166",0.0900342839263341
"X.167",0.109816433631995
"X.168",0.0939900817834864
"X.169",0.0868272458893617
"X.170",0.0982212587448741
"X.171",0.0833020364807246
"X.172",0.099363301490409
"X.173",0.0836476011234009
"X.174",0.0906414838721695
"X.175",0.0727701717233622
"X.176",0.0998109005799797
"X.177",0.107118842280856
"X.178",0.102596476607349
"X.179",0.0872140275432702
"X.180",0.0805581559316595
"X.181",0.0974491435543398
"X.182",0.0782410030054252
"X.183",0.0741576298226119
"X.184",0.101692764109437
"X.185",0.0809587338508973
"X.186",0.10111863334641
"X.187",0.0830900013199002
"X.188",0.109547679000113
"X.189",0.0785849410450051
"X.190",0.111096833518439
"X.191",0.0742842329344086
"X.192",0.110986988365498
"X.193",0.114545517997812
"X.194",0.110111845420911
"X.195",0.0815665112492312
"X.196",0.0845668772412763
"X.197",0.0770773688461282
"X.198",0.0870475956451828
"X.199",0.0835018973305017
"X.200",0.0952707774456179
"X.201",0.0925939441356871
"X.202",0.110485770874276
"X.203",0.231445697932753
"X.204",0.0891328248710714
"X.205",0.108788160917261
"X.206",0.0762943995119463
"X.207",0.0705036291113701
"X.208",0.0956444376000436
"X.209",0.0904341142471474
"X.210",0.125472341778439
"X.211",0.0691042182337132
"X.212",0.0894056357133133
"X.213",0.107108588276642
"X.214",0.113937689621855
"X.215",0.10571349319201
"X.216",0.0819826199751234
"X.217",0.0907894506927533
"X.218",0.107574481149481
"X.219",0.0956183206704677
"X.220",0.10357495867002
"X.221",0.113275587080217
"X.222",0.0939315204403023
"X.223",0.0752737196233008
"X.224",0.141838341603066
"X.225",0.118847881333363
"X.226",0.09036117435828
"X.227",0.0797302448081611
"X.228",0.0772449241350186
"X.229",0.103987660261021
"X.230",0.0863569000583104
"X.231",0.10262394104209
"X.232",0.0934614126779959
"X.233",0.0763681766815356
"X.234",0.0922920155970516
"X.235",0.0817874965977109
"X.236",0.100419526479751
"X.237",0.118306353178717
"X.238",0.083469642179259
"X.239",0.0852947743619052
"X.240",0.0735854465539973
"X.241",0.121884273092667
"X.242",0.106162897031763
"X.243",0.113237522870824
"X.244",0.130175669896206
"X.245",0.155501508959266
"X.246",0.0768922320971479
"X.247",0.109566465997433
"X.248",0.0897143014723122
"X.249",0.0965249581442947
"X.250",0.115029875008713
"X.251",0.107860510007742
"X.252",0.098744031350312
"X.253",0.0860691781232888
"X.254",0.0781802139448319
"X.255",0.102378601022064
"X.256",0.0908863378283363
"X.257",0.104831886499219
"X.258",0.0896290103529287
"X.259",0.0937130255550898
"X.260",0.0839433359467435
"X.261",0.0810060090037417
"X.262",0.118930604963905
"X.263",0.104079516023843
"X.264",0.120375465621231
"X.265",0.115729948291499
"X.266",0.0903089395183188
"X.267",0.108456408695725
"X.268",0.0894502680574226
"X.269",0.106170576915819
"X.270",0.106873754978568
"X.271",0.080659074180078
"X.272",0.11439900012379
"X.273",0.0884259523210961
"X.274",0.102296680383267
"X.275",0.0984046765842917
"X.276",0.0771179272339615
"X.277",0.0830890635359646
"X.278",0.0762635798467069
"X.279",0.0948569087759468
"X.280",0.114691773781204
"X.281",0.11720065594629
"X.282",0.100963499356445
"X.283",0.0712622812403911
"X.284",0.086190740708672
"X.285",0.0880019530322834
"X.286",0.106820185056375
"X.287",0.0972618108041712
"X.288",0.0706606312285076
"X.289",0.0886777652653746
"X.290",0.115397080267121
"X.291",0.0973179525720113
"X.292",0.0885209596526822
"X.293",0.0859344308837271
"X.294",0.11494942790419
"X.295",0.105258790235234
"X.296",0.0859520588324983
"X.297",0.0940469113703761
"X.298",0.119758105496334
"X.299",0.0859752053377391
"X.300",0.0871411901273227
"X.301",0.126852535409585
"X.302",0.103840024127369
"X.303",0.104943936108162
"X.304",0.0890647242867463
"X.305",0.0802514898791341
"X.306",0.0956310920584627
"X.307",0.0963861967922914
"X.308",0.0784041124699349
"X.309",0.156344842075102
"X.310",0.0979367809801961
"X.311",0.0808400808829304
"X.312",0.0905457645062476
"X.313",0.17500318030968
"X.314",0.0761452195305147
"X.315",0.0929455492314341
"X.316",0.0803413257874265
"X.317",0.110132763109126
"X.318",0.0919547495581655
"X.319",0.0995795699304023
"X.320",0.115642083327345
"X.321",0.0899266199397897
"X.322",0.100107865282211
"X.323",0.0979766743113578
"X.324",0.103229495716105
"X.325",0.0901953929242688
"X.326",0.101231362515153
"X.327",0.139921771354048
"X.328",0.111994810206137
"X.329",0.125835702574347
"X.330",0.0783591338647148
"X.331",0.0891413640294892
"X.332",0.0799626019468725
"X.333",0.0955028672614198
"X.334",0.0925449523500119
"X.335",0.0939220283184005
"X.336",0.0769029854362459
"X.337",0.085505474458162
"X.338",0.105338371867686
"X.339",0.0787987508623936
"X.340",0.0963855400524537
"X.341",0.0980179453315723
"X.342",0.0952874074043854
"X.343",0.0835284915518716
"X.344",0.0768472051335398
"X.345",0.108866244078634
"X.346",0.0815842462248308
"X.347",0.0821132144183997
"X.348",0.0967570816808761
"X.349",0.0856545130651305
"X.350",0.084545817213497
"X.351",0.092069486585808
"X.352",0.0851226267549689
"X.353",0.179596509071576
"X.354",0.0838699683605109
"X.355",0.100336614306983
"X.356",0.0979652551220344
"X.357",0.0898061108698499
"X.358",0.101939482821356
"X.359",0.115239627187928
"X.360",0.10440789819754
"X.361",0.0940145858991259
"X.362",0.115419737444866
"X.363",0.093739795119038
"X.364",0.0990342758807538
"X.365",0.150451495986091
"X.366",0.0918803976332827
"X.367",0.102552124853428
"X.368",0.124300600357827
"X.369",0.115981824252924
"X.370",0.109794012777236
"X.371",0.0877033513383933
"X.372",0.0923718414257387
"X.373",0.0858048493086044
"X.374",0.0893423810686057
"X.375",0.126425249623148
"X.376",0.087202925058472
"X.377",0.103287935840956
"X.378",0.102025596529633
"X.379",0.0890365729306848
"X.380",0.0904689711215279
"X.381",0.0911445628710726
"X.382",0.0786721078350018
"X.383",0.123749145886357
"X.384",0.104922615814836
"X.385",0.0997455721328288
"X.386",0.0859544750508615
"X.387",0.0945759282381693
"X.388",0.10777859910601
"X.389",0.0946594279555839
"X.390",0.119345142208483
"X.391",0.102961618033687
"X.392",0.146313029933205
"X.393",0.0784042110407412
"X.394",0.0862369157282636
"X.395",0.084402692348912
"X.396",0.0968117419309895
"X.397",0.0882534816799613
"X.398",0.12422958556322
"X.399",0.116231406518248
"X.400",0.167495268820377
"X.401",0.107240752241426
"X.402",0.0775139678721963
"X.403",0.109978721898526
"X.404",0.0851802098539629
"X.405",0.129816022861824
"X.406",0.099275389060326
"X.407",0.0966528215393393
"X.408",0.076028514197559
"X.409",0.118592160768895
